title,company,district,classification,work-type,description
Programmer ( PHP ),Hays Hong Kong Limited,Central and Western District,Developers/Programmers (Information & Communication Technology),Full time,"Key Responsibilities:Focused on intelligent automation and data-driven decision-making from inception to completion.Utilize AI and big data technologies to analyze complex business scenarios and derive actionable insights.Design and develop tailored solutions that address specific business needs and requirements.Work closely with cross-functional teams, including data scientists, engineers, and business analysts, to ensure project success.Monitor and evaluate the performance of implemented solutions, making adjustments as necessary to optimize outcomes.Stay abreast of the latest trends and advancements in AI, big data, and intelligent automation to continuously improve project outcomes.Qualifications:Higher Diploma in Computer Science, Data Science, Engineering, or a related field.Proven experience in leading projects involving AI, big data, and intelligent automation.Proficiency in programming languages such as Python, R and experience with big data platformsStrong analytical and problem-solving skills, with the ability to interpret complex data and make data-driven decisions.Excellent communication and interpersonal skills, with the ability to convey technical concepts to non-technical stakeholders.Demonstrated leadership abilities with a track record of successfully managing cross-functional teams.If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV to[email protected]or contact to22307436If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion on your career."
Associate Data Scientist,JFE Consulting Limited,"Central, Central and Western District",Developers/Programmers (Information & Communication Technology),Full time,"ResponsibilitiesServe as a key client-facing contributorCollaborate with the business to translate unstructured business questions into quantitative problemsProvide advanced analytics support, including machine learning, big data, and sophisticated statistical modelingAdvise on appropriate analytical models based on available data, technology, and platformEvaluate machine learning algorithms and models, and provide technical recommendations to business units for decision-makingPrototype advanced analytics and machine learning solutions, and optimize them iteratively for business partnersMonitor data science product performance to ensure the delivery of expected business value, and initiate necessary corrective actionsAnticipate needs and lead the implementation of capabilities such as data modeling, algorithms, new technology, and partnershipsRequirementsMaster's degree or equivalent in Data Science, Computer Science, Econometrics, Mathematics, Operations Research, Statistics, or a related discipline3-6 years of work experience in data science, with a proven track record of leveraging large amounts of data to drive significant business impact, including at least 1 year of optimization experienceAdvanced analytical skills, experience in recommending appropriate algorithms and methodologies for problem-solving and decision-making, leveraging both logic and creativityProficiency in statistical analysis tools and machine learning languages, such as Python/R, as well as experience with big data tools (e.g., Spark) and query languagesPreferred experience in advanced machine learning topics (e.g., NLP, Graph Neural Networks, Probabilistic Models)Strong communication skills to articulate ideas verbally and in written form for audiences at different levelsSolid understanding of the latest analytics technology, concepts, and trends in platforms and toolsGood knowledge of database concepts, data modeling, business intelligence disciplines, and data management toolsExperience with the AWS cloud stack is an advantageExperience with data visualization tools (e.g., Alteryx, QlikSense, PowerBI) is an advantage"
Associate Business Analyst/ Junior Business Analyst,Macroview Telecom Limited,"Quarry Bay, Eastern District",Business/Systems Analysts (Information & Communication Technology),Full time,"Job Responsibilities:Collaborate with stakeholders to understand and document business requirements, processes, and objectives.Work closely with business users & IT to align the understanding of business goal, requirements and solution designConduct data and workflow analysis to identify areas for improvement and efficiencyParticipate in the development of business and functional requirements, use cases, and user storiesContribute to testing activities and assist in user trainingAssist in creating project documentation, including business requirement documents, test plans and user guidesRequirements:Degree holders in Business Administration, Information Systems or Computer Science related disciplines1-2 years of working experience in business analysis, solution development or data analysisExperience in business requirement elicitation & analysis is preferredExperience in Project Management is an advantageExperience in CRM, ERP and helpdesk systems is an advantageExcellent documentation, presentation, and interpersonal skillsGood analytical & problem-solving skillsIndependent, proactive, innovative, detail-minded and able to work under pressureFresh graduates will also be considered"
Data Science Lead,Klook Travel Technology Limited,Hong Kong,Business/Systems Analysts (Information & Communication Technology),Full time,"About the roleWe're looking for a passionate data science leader to spearhead our MarTech initiatives and unlock the full potential of data-driven demand marketing. This role is heavily focused on building and deploying models for predictive and prescriptive analytics, not just descriptive reporting. I.e. Less on descriptive (5-10%), more prescriptive and predictive (>80%)What you’ll do:Meaningfully improve business results by leveraging cutting-edge data science and machine learning techniquesLead the development and deployment of production-ready ML (predictive/prescriptive) models for tasks:Automated anomaly detection and root cause analysis for discovered anomaliesHighly accurate forecasting models that combine internal and market demand signals.More accurate forecasting model based on both internal and market demand signalsUser search intent understanding and optimal landing page experience matching.Understanding user’s search intent and matching it to the best landing page experienceIn-session propensity scoringBuild predictive models and even prescriptive models that deploy to productionEither AWS or GCPMonitoring of data pipeline and data qualityMonitoring of model drift, if anyA/B different models in productionTranslate complex data science concepts into clear, actionable insights for senior management and stakeholders.Lead and mentor a team of junior analysts and developersWhat you’ll need:Must-Haves:5+ years of hands-on experience in Data Science and Machine Learning with clear and strong track record of deliverables that improved business outcomesProficiency in building and deploying models to production using either AWS or GCP cloud platforms.Clear communication (in English) and can translate complicated ideas to stakeholders like a 5th graderCan lead and guide junior developers and budding data scientistsStrong sense of ownership and bias towards actionNice-to-haves:Python fluency (+++)NLP, LLMs including embeddings, vector DBs, and neural nets (++)Experimentation setup and post mortems both frequentist & bayesian (++)Another language beyond English"
Programmer ( PHP ),Hays Hong Kong Limited,Central and Western District,Developers/Programmers (Information & Communication Technology),Full time,"Key Responsibilities:Focused on intelligent automation and data-driven decision-making from inception to completion.Utilize AI and big data technologies to analyze complex business scenarios and derive actionable insights.Design and develop tailored solutions that address specific business needs and requirements.Work closely with cross-functional teams, including data scientists, engineers, and business analysts, to ensure project success.Monitor and evaluate the performance of implemented solutions, making adjustments as necessary to optimize outcomes.Stay abreast of the latest trends and advancements in AI, big data, and intelligent automation to continuously improve project outcomes.Qualifications:Higher Diploma in Computer Science, Data Science, Engineering, or a related field.Proven experience in leading projects involving AI, big data, and intelligent automation.Proficiency in programming languages such as Python, R and experience with big data platformsStrong analytical and problem-solving skills, with the ability to interpret complex data and make data-driven decisions.Excellent communication and interpersonal skills, with the ability to convey technical concepts to non-technical stakeholders.Demonstrated leadership abilities with a track record of successfully managing cross-functional teams.If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV to[email protected]or contact to22307436If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion on your career."
Associate Business Analyst/ Junior Business Analyst,Macroview Telecom Limited,"Quarry Bay, Eastern District",Business/Systems Analysts (Information & Communication Technology),Full time,"Job Responsibilities:Collaborate with stakeholders to understand and document business requirements, processes, and objectives.Work closely with business users & IT to align the understanding of business goal, requirements and solution designConduct data and workflow analysis to identify areas for improvement and efficiencyParticipate in the development of business and functional requirements, use cases, and user storiesContribute to testing activities and assist in user trainingAssist in creating project documentation, including business requirement documents, test plans and user guidesRequirements:Degree holders in Business Administration, Information Systems or Computer Science related disciplines1-2 years of working experience in business analysis, solution development or data analysisExperience in business requirement elicitation & analysis is preferredExperience in Project Management is an advantageExperience in CRM, ERP and helpdesk systems is an advantageExcellent documentation, presentation, and interpersonal skillsGood analytical & problem-solving skillsIndependent, proactive, innovative, detail-minded and able to work under pressureFresh graduates will also be considered"
Data Science Lead,Klook Travel Technology Limited,Hong Kong,Business/Systems Analysts (Information & Communication Technology),Full time,"About the roleWe're looking for a passionate data science leader to spearhead our MarTech initiatives and unlock the full potential of data-driven demand marketing. This role is heavily focused on building and deploying models for predictive and prescriptive analytics, not just descriptive reporting. I.e. Less on descriptive (5-10%), more prescriptive and predictive (>80%)What you’ll do:Meaningfully improve business results by leveraging cutting-edge data science and machine learning techniquesLead the development and deployment of production-ready ML (predictive/prescriptive) models for tasks:Automated anomaly detection and root cause analysis for discovered anomaliesHighly accurate forecasting models that combine internal and market demand signals.More accurate forecasting model based on both internal and market demand signalsUser search intent understanding and optimal landing page experience matching.Understanding user’s search intent and matching it to the best landing page experienceIn-session propensity scoringBuild predictive models and even prescriptive models that deploy to productionEither AWS or GCPMonitoring of data pipeline and data qualityMonitoring of model drift, if anyA/B different models in productionTranslate complex data science concepts into clear, actionable insights for senior management and stakeholders.Lead and mentor a team of junior analysts and developersWhat you’ll need:Must-Haves:5+ years of hands-on experience in Data Science and Machine Learning with clear and strong track record of deliverables that improved business outcomesProficiency in building and deploying models to production using either AWS or GCP cloud platforms.Clear communication (in English) and can translate complicated ideas to stakeholders like a 5th graderCan lead and guide junior developers and budding data scientistsStrong sense of ownership and bias towards actionNice-to-haves:Python fluency (+++)NLP, LLMs including embeddings, vector DBs, and neural nets (++)Experimentation setup and post mortems both frequentist & bayesian (++)Another language beyond English"
Junior Data Analyst ( Multiple openings),Robert Walters (HK) Ltd,Central and Western District,Business/Systems Analysts (Information & Communication Technology),Full time,"-Responsibilities* Work with data owners on processes to enable and ensure data quality, evangelizing the importance of good data hygiene* Streamline and automate internal process to ensure efficient and effective data generation and analytics processes are in place. Drive continuous improvement in the team's output in terms of quality and efficiency.* Partner with regional stakeholders to identify areas of optimization in data discovery, ETL, storage, enrichment, and usage* Be a subject matter expert in data to support the increasing demands from business and other analytics / data science teamsRequirements* 1-3 years of data analytics experience in with hands on experience in Python and SQL/ SAS* University graduate majoring in mathematics, statistics, business analytics, information system, computer science, or other related discipline* Strong ability to analyze and interpret business and financial data* Knowledge in building dashboard by using Tableau, Power BI or any equivalent tools would be an advantage"
Mobile/E-Banking: Junior IT Business Analysts (Major Bank),IT Solutions Ltd.,Hong Kong,Business/Systems Analysts (Information & Communication Technology),Full time,"We are searching on behalf of a major bank for a number ofJunior IT Business AnalystsResponsibilities:Create detailed business analysis, outline problems and professional solutions to users and developersFormulate Test Plans and conduct User Acceptance TestWork closely with business users and developers to ensure effective project implementationAssist to manage IT project implementationRequirements:Degree in Business Studies or Computer Science or related disciplineWith or without Working experienceStrong attentions to detail and good problem-solvingStrong communications and presentation skillsGood written and spoken Chinese and EnglishFresh Graduates, or with working experience in other areas are welcome to applyBenefits:Attractive remuneration will be offered to the successful candidate.Excellent opportunity to further develop your professional skills in major banking environment.Gain expertise in the full range of operations of Payment Systems in the BankIf you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries to:jobs @itsolutions.com.hkorPlease click the Apply Now button and attach your cv in MS Word Format, specifying your availability, current and expected salaries.Personal data collected will be used for recruitment purposes only.IT Solutions Ltd.Suite 210221/F Lucky Building39 Wellington StreetCentral, Hong Kong(P.S. We do not process applications from overseas for this position)"
(Senior) Data Scientist,Tenth Revolution Group,Central and Western District,Business/Systems Analysts (Information & Communication Technology),Full time,"My client is one of the world's leading company in minor bulk shipping industry, whose headquarter in Hong Kong, with network of 14 offices in 6 continents across. They're currently looking for an experienced Data Scientist to join the internal data team to play a key role in building and productionizing strategic machine learning models that can drive business critical decision making and maximise business value.Role & ResponsibilitiesIdentify and solve business problems by using data-driven techniquesAnalyze raw data to find patterns to check data quality and provide insightsDevelop, deploy and maintain machine learning models to enhance business workflowsPresent findings and workable solutions to both technical and non-technical stakeholdersSkills & QualificationsAt least 4 years of experience applied data scientist a business environmentSignificant experience with Python and SQLExperience with developing machine learning model and running machine learning in production, MLOpsUnderstanding of probability and statistics, with ability to think from first principlesExperience within shipping or transportation sector is an advantageExperience in Bayesian Hierarchical modeling is an advantageProficiency in both written and spoken EnglishThis is a fantastic opportunity and great project to work with 5 working days a week, comprehensive remuneration packages and training provided. We are hiring within the week and If you think this role is suitable for you please send your CV to[email protected]or call on+852 3018 0382."
Junior Data Center Operator (7x24 Shift) Salary range from $18000 to $20000,Tech Advance Consultancy Limited,"Cyberport, Southern District",Help Desk & IT Support (Information & Communication Technology),Full time,"Jobs Duties:Provide Technical Support services including: Data Centre operations, equipment maintenance and service provisioningProvide technical support services including fault reporting, troubleshooting, cable testing, equipment installation for external customersInstall and uninstall customer connectivity service, including circuit testing and labelingPerform cross connect related audit duties, record validation and housekeeping workSupport for local networking devicesIncident handling, problem troubleshooting and escalation to upper tierMaintain accurate records, document all problems, and prepare reportsDelivery of operation reports, management reportEnsure compliance with operation rules in managing customers' equipmentRequirements:Willing to perform 7 x 24 shift dutyCustomer focus with good communications and interpersonal skillsGood presentation skills and problem solving skillsDiscipline, self-initiative, self-motivateHands-on experience in hotline support and data center operations is preferred.Working experience in data center operation / technical support / hotline support is preferredImmediately available will be advantageFresh Graduates are WelcomeWorking location:  90% working in Kowloon Bay, 10% working in Cyberport.(Ref: KH)"
Data Engineer,Li & Fung (Trading) Ltd,"Lai Chi Kok, Sham Shui Po District",Business/Systems Analysts (Information & Communication Technology),Full time,"About usWe aspire to deliver value in global supply chains by living our values around people, partners and the planet. As new technologies disrupt the way consumers and businesses interact, Li & Fung is reimagining and creating supply chains for the future. Through our innovative products and end-to-end supply chain solutions, we aim to expand the realm of what is possible and create more value for more players along the supply chain.With our entrepreneurial spirit, we are using digital technologies to speed collaboration, drive innovation and enhance sustainability.  Our values form the basis of our culture, our brand and our business strategies. They define how we engage with our colleagues, with our customers and suppliers, our shareholders, and the communities in which we live and work.Here is what you need to know about this role ...As one of the key Data Engineers, you are expected to work on Azure Databrick and Power BI to help on the upcoming projects related to email analysis, employee data consolidation, project usage analysis, etc. You are also required to: -Manage and administer Azure Databricks platform, including policy and rules settingSupport data platforms like DataBrick, Oracle and Data WarehouseImplement and maintain security measures using Unity Catalogue and fine-grained security implementationsStay up-to-date with Databricks development and new featuresDesign and develop data pipelines using Azure Data Factory, ODBC/JDBC connections, and 3rd parties’ integration toolsUnderstand and work with in-house RDBMS-based application data modelsImplement practical master data management solutions in environments with conflicting sources of truthApply design best practices to facilitate efficient data pipeline debugging; andPerform other ad-hoc tasks as assignedYou might be a good fit if you have …A Bachelor's degree in Computer Science, Information Systems, or related discipline3-4 years' hands-on experience in data engineering and BI tools like Azure Databricks, Power BI, TableauPassionate about emerging technologiesSolid background in data pipeline development and cloud-based data solutionsStrong proficiency in SQL, Python, and Shell ScriptingExperience in Azure Data Factory and other ETL/ELT toolsFamiliarity with data integration tools such as Golden Gate or FivetranKnowledgeable in data security best practices and implementation; andExperience with RDBMS systems and data modelingStrong problem-solving skills, excellent communication abilities and a self-starter passionate in continuous learning in the rapidly evolving field of data engineeringYour profile will stand out if you additionally possess ...Azure certifications (e.g. Azure Data Engineer Associate)Knowledge of metadata management and master data management conceptsFamiliarity with DevOps practices and CI/CD pipelinesIf this sounds like you, Apply Now!  We offer the below benefits and perks: -Competitive salary with 13th month salary plus discretionary bonusHealth, dental, life and personal accident insurancesPaid days off + festival early leave + volunteer leaveSample sales and staff discount offer#lftrading #lifungIt’s alright if this is not what you are looking for! You can also join us on LF Talent Network by clicking HERE (https://lifung.wd3.myworkdayjobs.com/en-US/LiFung/introduceYourself). We will contact you when the right job opportunity comes up!As an equal opportunity employer, we shall consider all applicants regardless of gender, age, religion, marital status, race, sexual orientation, disability, disease, pregnancy, or trade union and/or political affiliation, and disregard all factors deemed inappropriate by local law and the International Labor Organization’s Declaration on Fundamental Principles and Rights at Work.About Li & FungAt Li & Fung, value has tangible meaning and we strive to deliver value to our stakeholders with each and every interaction.  We also live by our values of humility, entrepreneurship and family and they are at the core of our relationship with our people, our partners and our commitment to reduce the harmful impact of our industry on the planet.Since 1906 we have grown from our initial startup focused on trading porcelain and silk from China to the West to today’s multinational corporation, managing complex supply chains for brands and retailers worldwide. Over 118 years, Li & Fung has been developing networks and building long-term, meaningful relationships with our stakeholders.  Despite major changes and disruptions, innovation and creativity continue to drive our business.  We constantly experiment with new ways of working to deliver value to our customers and suppliers, our shareholders, and the communities in which we live and work. We are dedicated to changing how the world works and making life better for people everywhere.(Data collected will be used for recruitment purposes only.)"
Senior Consultant (Reliability),Arup,"Kowloon Tong, Kowloon City District",Other (Engineering),Full time,"Are you passionate to make a difference where you live and work? At Arup, we do work that matters. We are proud to be a diverse community of designers, planners, engineers, advisors and experts from many disciplines. Join Arup, and you will find yourself in a place where imagination, technology and rigour meet to solve some of the planet’s most urgent challenges.We care about you and want you to perform at your best. Here you will have access to a wide range of opportunities to become a better version of yourself. We also offer flexible work arrangements to support your lifestyle and wellbeing.We welcome candidates from all backgrounds, and provide an equal and inclusive environment for you to thrive in. Join us to create a greener, better and more sustainable world!Who You’ll Work WithYou will join as a Senior Consultant, sitting in our award-winning Safety, Risk & Reliability practice as part of the Resilience, Security & Risk team within Arup.You will work on some of the most challenging and complex Hong Kong and global projects within the low carbon transport, renewable energy & digital infrastructure sectors. You will find yourself having to interact, problem solve and influence design engineers, environmental consultants, data scientists, fire specialists and more.Your ImpactYou will deliver impact on one or more of the following:Promote reliability by design through the application of reliability, availability & maintainability activities. Supporting multi-disciplinary infrastructure projects from inception to delivery and operationsInstil a world class reliability & maintenance culture within organisation, drawing upon your own operational experience, benchmarking performance and applying industry best practiceImprove asset performance within existing operations through data analytics, root cause analysis and the implementation of reliability improvement initiativesSupport the digitalisation of maintenance through reliability assurance, design of workflow and data infrastructure, and the incorporation of cyber risk managementWhilst your primary focus will be across the energy, digital and rail infrastructure sectors, you must also be keen and able to adapt and transfer your skills elsewhere.The role will be client facing and you will be expected to build and foster relationships and proactively lead business development activities to support the team's growth.As part of a multi-industry team, you will support the development of technical excellence within the team and mentor junior engineers. You will also be required to adapt and transfer your skills to new sectors, and support safety and technical risk activities when opportunities arise.Essential Skills & ExperienceDegree in a technical engineering related discipline, or extensive relevant industry experienceExperience in delivering Reliability, Availability & Maintainability (RAM) activities; FMECA, Reliability Block Diagram (RBD) analysis, reliability prediction, maintainability prediction and sparing analysisExperience with tools for improving maintenance efficiency and effectiveness (e.g. Reliability Centred Maintenance (RCM), Task Based Maintenance etc)Experience and knowledge about operations and maintenance processes, with proven experience in improving system availability & asset reliabilityProficiency in cyber risk management, specifically in the context of Operational Technology (OT) systems, to enhance the reliability of critical infrastructure and industrial processesEssential AttributesExcellent interpersonal & communication skillsAbility to lead multi-disciplinary teams with a deep involvement in helping frame, design and execute solutionsDesired Skills & ExperienceOperations & Maintenance experience within any the of following sectors; energy, manufacturing, digital infrastructure and rail (infrastructure or rolling stock)Accredited or working towards Chartered Engineer or equivalent with membership of a relevant professional bodyWorking knowledge of BS EN 50126, BS EN 60812, & IEC 62443International certification on reliability (e.g., CMRP, CRP or others)Knowledge of a reliability software package such as Isograph, Reliasoft or BQRUnderstanding of cyber risk management for Operational Technology (OT) systems, with a focus on critical infrastructure and industrial processesInterest and experience in the digitisation of maintenance, predictive maintenance, machine-learning techniques, industrial internet of things (IoTs), new digital tools, digital performance management, data visualisationWhy ArupAt Arup, you will work alongside some of the most talented people who share your ambition to make a difference. You’ll get to work on projects that push people’s expectations of what’s possible, from inspiring buildings to emerging technologies that will shape our future.We offer a competitive remuneration package commensurate with qualifications and experience to the right candidate including Global Profit Share scheme, additional fringe benefits of maternity/paternity leave and long-term career development opportunities.For interested applicants, please click “Apply Now"" to submit your online application.To explore more job opportunities in Arup, please visit our website at http://www.arup.com/Careers/Experienced_Hires/ApplyForAJobPersonal data provided by job applicants will be used strictly in accordance with the employer’s personal data policies, a copy of which is available on Arup’s Legal page."
Business Analyst / Junior Business Analyst (Finance Team),Manulife (International) Limited,"Ngau Tau Kok, Kwun Tong District",Fund Administration (Insurance & Superannuation),Full time,"This isNOTDATA /DIGITAL /IT positionMaintain and develop trusted, long-term relationship with key clients.By meeting defined goals and objectives, ensuring the result solution benefits the clients.Analyze our client needs, provide comprehensive financial and investment advice to clients including asset allocation, retirement planning, estates planning and risk management.Forecasts and analyse Manulife's fund products and performanceUnderstanding the integral parts of the business system and activitiesDetermine the high-profitable segments and able to share with clientsEstablish and maintain long-term relationships with clients and engage clients in core business analyst activitiesIdentify and recommend the high profitable segmentsMonitor and review investment portfoliosRequirements:Hong Kong citizens or work permit holder is a must, IANG/TTPS holders are welcomeUniversity graduateSelf-motivated, independent worker, excellent presentation skills with the ability to work under pressureFluent in spoken Cantonese, Putonghua and EnglishWe offer:5-days work and attractive remuneration package (HK$28K or HK$48,000) ∙ Professional training program including mentor support and  leadership workshopMedical scheme and other allowanceIncentive Trips & Overseas ConferencesExcellent career path and fast-track advancement opportunities"
"Data Scientist, Audit",KPMG,"Central, Central and Western District","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"OverviewKPMG China provides multidisciplinary services from audit and tax to advisory, with a strong focus on serving our clients’ needs and their industries. Not only do we have an overriding commitment to provide the highest quality services for our clients, but we also strive to become a responsible corporate citizen that has a positive impact on our environment and community. At KPMG, you’ll translate insights into action and reveal opportunities for all—our teams, our clients and our world.Using data analytical techniques to identify insights to improve the Firm’s financial and operational performance in special areas.Key ResponsibilitiesHandle clients' data cleansing and pre-processingHelp analyse client data according to the audit teams' needsPropose how the data can be analysed and relevant tools, and propose what additional elements are required for additional analysesBuild visualization dashboards to present the audit data analysesExplain the technical logics for the analyses to the audit teamsComplete the relevant documentation for the audit teamsExperience & BackgroundBachelor's degree, preferably in Mathematics, Statistics or Information Technology-related disciplines such as Computer Science, Information Systems, etc.1+ years’ experience relating to Data & Analytics with experience in Visualization1+ years’ experience relating to Python (R programming is a plus)Proficient in and working experience with at least one visualization tool (such as Alteryx, Tableau, Power BI)Data analytics experience with VBA, SQL is preferredKnowledge in process mining is a plusStrong understanding in BI/data warehouse conceptsStrong analytical mindset with solid problem-solving skills and ability to analyse complex data, identify core issues and investigate, evaluate and reach appropriate conclusions / solutionsGood English language skillsWe offer successful candidates an attractive remuneration package and the opportunity to work in a dynamic and exciting environment.Personal data collected will be used for recruitment purposes only.About KPMGAt KPMG China, we are committed to being an equal opportunity employer, with zero tolerance for any form of discrimination against any persons. It is important for us to create an inclusive, diverse and agile workplace for our people to develop and thrive at both a personal and professional level.We strive to make ESG (environmental, social and governance) a watermark running through our organisation; from empowering our people to become agents of positive change, to providing better solutions and services to our clients to help them achieve their ESG goals.View Our Impact Plan [link removed] to learn more about our ESG commitments and progress across four key pillars - Governance, People, Planet and Prosperity – and how we make a positive impact on our people, environment and society.We encourage you to come as you are, and we welcome all qualified candidates to apply, and hope you unlock opportunities with us. Visit KPMG China website [link removed] for more company information.You acknowledge and agree that all personal information hereby provided regarding yourself will be used by KPMG China for its candidate selection purposed only. KPMG China collects, uses, processes, and retains your personal information in accordance with KPMG China’s Online Privacy Statement [link removed] and/or KPMG China Privacy Statement [link removed] (collectively ""Privacy Statement""). During the recruitment process, KPMG China may need to store personal information of candidates in a designated third-party application tracking platform.© 2023 KPMG, a Hong Kong partnership and a member firm of the KPMG network of independent member firms affiliated with KPMG International Cooperative (“KPMG International”), a Swiss entity. All rights reserved."
Business Analyst (IT) (Fresh graduate also welcome),JFE Consulting Limited,Hong Kong,Business/Systems Analysts (Information & Communication Technology),Full time,"Job Description:Work closely with development teams in business requirements, process design, UAT, user training, write up use cases, test plan, etc.Involve with the IT system enhancement and user acceptance test on processing issueManage business requirements gathering, analysis and documentation. Act as a bridge between business users, technical team.Ad-hoc duties projects and tasks as assignedRequirements:Bachelor Degree in Information Technology, Bussiness or other related disciplinesMinimum 3+ years of related experiences as Senior Business AnalystGreat interpersonal skill, problem solving, and a committed team playerGood command of both written and spoken English and ChineseCandidates with less experiences will be considered as Business Analyst"
Senior Data Scientist,LFX Services Limited,"Lai Chi Kok, Sham Shui Po District","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"Position Overview:We are actively seeking a highly motivated and skilled Senior Data Scientist to join our Strategic Data Unit (SDU), a specialized data function within the Group to create and manage common data, general algorithms, and data bridges to the LFX Group. You will be dedicated to shaping and managing group-level data, AI/ML algorithms, and data connections to the LFX Group.Key Responsibilities:Solutions Development- Develop end-to-end AI and machine learning solutions for supply chain optimization.- Provide high-quality, actionable insights from analytics solutions.- Explore business opportunities and identify areas for AI and ML solutions.Product building- Build Proof of Concepts (POCs), and Minimum Viable Products (MVPs) to showcase proposed solutions.Data Analytics for Business Impact- Utilize data analytics to strategically support business units.- Focus on revenue enhancement, cost reduction, and operational efficiency improvement.- Provide guidance on the appropriate analytics approach through active participation in discussions.Data Product-Driven Mindset- Cultivate a Data Product-Driven Mindset.- Focus on achieving desired product outcomes and solving business pain points.Job Requirements:- Bachelor's degree or higher in computer science, data science, or a related field.- 5+ years of experience in data analytics, machine learning, data science, or a related field.- Demonstrated advanced analytical skills, utilizing appropriate algorithms and methodologies for effective problem-solving and decision-making, combining logic and creativity.- Proficiency in Python and SQL is essential.- Good knowledge of machine learning algorithms and libraries (e.g., scikit-learn, XGBoost, PyTorch, TensorFlow, etc.).- Experience in multimodal models and LangChain is a plus.- Familiarity with data visualization tools, ideally Power BI or Tableau.- Strong communication skills to comprehend business challenges and requirements, while clearly articulating findings and strategies to drive business initiatives.-Experience in Fintech/Banking environment is a plus.(Candidates with less experience will be considered for the role of Data Scientist.)"
Data Analyst (Information Technology Unit),The Hong Kong Federation of Youth Groups,"Quarry Bay, Eastern District",Database Development & Administration (Information & Communication Technology),Full time,"Job Duties and Responsibilities:Work closely with different business stakeholders to maintain a centralised data warehouse for data management and data pipelinePerform data quality audits and validations to identify and resolve any data errors or anomalies.Conduct data quality assessments, data cleansing and data exchange processes by designing and implementing different rules and best practiceDevelop analyses, create reports and dashboards or visualisations for different business unitsCreate and maintain Data Catalogs, dictionaries or metadata for the enterpriseSupport the maintenance and enforcement of Data Governance policies and procedures.Implement data security measures involving multiple layers of protection to prevent unauthorised data access or disclosureEntry Requirements:Study Fields：Bachelor’s degree in Computer Science, Information Systems, Data Science, or related disciplinesKnowledge, Skills and Abilities:Minimum of 2 years working experience as a data analyst/data engineer or other related fieldFamiliarity with data modeling and common software tools used for big data analysis, including SQL, BI tools, Python or RKnowledgeable in MS Excel, and SQL would be an advantageProficiency in Tableau and Power BI is preferredPersonal Attributes:Strong analytical and problem-solving skillsAbility to work both independently and as part of a teamRemarks:Only shortlisted candidates will be notified to attend a written test and/or interviewFull-time employee benefits: paid annual leave, family leave and medical allowanceClick“Quick Apply”via Jobsdb. If the applicant has not been interviewed within 3 months, the application will be regarded as fail and the information will be destroyed immediately. If you are being interviewed but not admitted, information will be destroyed within 1 year after the completion of the recruitment process.hkfyg.org.hk"
Part-time Data Scientist Assistant,The Hong Kong Jockey Club,"Happy Valley, Wan Chai District",Database Development & Administration (Information & Communication Technology),Part time,"The DepartmentThe Wagering Products (WP) Division is responsible for driving the wagering business strategy and results for the Club through the wagering products of Horse Racing (Local and Overseas), Football, Mark Six lottery and International Commingling with the aim to drive wagering turnover and revenue growth in a socially responsible and sustainable manner.The JobYou willWork with internal stakeholders to explore and understand racing dataFormulate and test hypotheses to evaluate business strategies and measure their impactStay up-to-date with the latest technologies in modelling and algorithms to design scientific tests that maximize spending on new initiatives, products and marketing strategyAssist to develop custom data models, machine learning algorithms and Gen AI product to apply to both structured and unstructured dataGenerate regular data analysis reportsOther duties as assigned by supervisorAbout YouYou should haveCurrently pursuing a relevant degree, such as a Bachelor’s or Master’s in Computer Science, Statistics, Mathematics, Science, Engineering, Economics, Physics, or Machine Learning.Ability to deliver statistical models and run forecasting in a statistical environment.Proficiency in R, SQL, experimental design, machine learning, response surface methodology, statistical graphics, stochastic processes, and Python.Self-motivated, strong critical and analytical mindExcellent written  and verbal communication skills in English and ChineseTerms of Employment$83 per hourWorking Schedule09:00am - 6:00pm* (Monday to Friday, 3 days per week)* Actual working hours would depend on operational needs.Working LocationHappy ValleyClosing DateOnly shortlisted candidates will be notified.Find out more about the remarkable opportunity today. Visit our website at www.hkjc.com now.We are an equal opportunity employer.Personal data collected will be used for recruitment purposes only."
